error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
STATE	100	CUP	4938598	Rebecca Yahr	Florida	Polk	746.54	outside_boundary_exact	South Carolina, Oconee County	35.002278,-82.971313	CUP-L-0011134	2 km NW of Wahneta (SE of Winter Haven), 0.1 mi E of Gerber Dairy Road on the N side of Cutrone Road. USFWS Lake McLeod Tract.	https://lichenportal.org/portal/collections/individual/index.php?occid=4938598
STATE	100	CUP	4993472	R. Yahr	Florida	Okaloosa	345.22	outside_boundary_exact	Georgia, Coffee County	31.7422222,-82.8536111	CUP-L-0011150	Santa Rosa Island, ca. 1 mi E of East Pass, S of US 98 and in the dunes near the A2 test site	https://lichenportal.org/portal/collections/individual/index.php?occid=4993472
STATE	100	FLAS	1384413	[n/a]	Florida	Addison	1729.48	outside_boundary_similarity_0.714	Vermont, Addison County	43.866667,-73.05	FLAS L11982	[n/a]	https://lichenportal.org/portal/collections/individual/index.php?occid=1384413
STATE	100	FLAS	1738531	Dana Griffin, III	Florida	Levy	1075.2	outside_boundary_exact	Ohio, Ross County	39.216667,-83.033333	FLAS L5745	Black Point Swamp, along county road 326, 1.5 mi. W of intersection with c.r. 347	https://lichenportal.org/portal/collections/individual/index.php?occid=1738531
STATE	100	FLAS	1738535	Dana Griffin, III	Florida	Levy	1075.2	outside_boundary_exact	Ohio, Ross County	39.216667,-83.033333	FLAS L5767	Black Point Swamp, along county road 326, 1.5 mi. W of intersection with c.r. 347	https://lichenportal.org/portal/collections/individual/index.php?occid=1738535
STATE	100	ILLS	2706046	J.L. Crane & C.A. Shearer	Florida	Jackson	1679.23	outside_boundary_exact	Texas, Pecos County	30.791256,-103.221795	ILLS00094472	Chipola River at junction with Route 166 at boat ramp. U.T.M. Zone 16, Marianna.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706046
STATE	100	ILLS	2706048	J.L. Crane & C.A. Shearer	Florida	Jackson	1679.23	outside_boundary_exact	Texas, Pecos County	30.791256,-103.221795	ILLS00094710	Chipola River at junction with Route 166 at boat ramp.	https://lichenportal.org/portal/collections/individual/index.php?occid=2706048
STATE	100	ILLS	2717985	J.L. Crane & J.D. Schoknecht	Florida	Monroe County,	1039.99	outside_boundary_multi_county_1_of_2	North Carolina, Mecklenburg County	35.17465,-80.93319	ILLS00098750	Bear Lake Trail, Flamingo. Everglades National Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=2717985
STATE	100	ILLS	2717986	J.L. Crane & J.D. Schoknecht	Florida	Monroe County,	1039.99	outside_boundary_multi_county_1_of_2	North Carolina, Mecklenburg County	35.17465,-80.93319	ILLS00010543	Bear Lake Trail, Flamingo. Everglades National Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=2717986
STATE	100	SBBG	1315135	S. C. Tucker	Florida	Gulf	549.08	outside_boundary_exact	Louisiana, East Baton Rouge County	30.408333,-91.1125	SBBG001653L	St. Joseph Peninsula State Park, ca. 20 mi SW of Port St. Joe, nature trail along bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1315135
STATE	100	SBBG	1315467	S. C. Tucker	Florida	Liberty	915	outside_boundary_exact	Texas, Liberty County	30.183333,-94.666667	SBBG015977L	Apalachicola Nat Forest; ocklakonee River, 21.5 mi E of Wilma on Forest Hwy 13	https://lichenportal.org/portal/collections/individual/index.php?occid=1315467
STATE	100	SBBG	1315860	S. C. Tucker	Florida	Wakulla	933.06	outside_boundary_exact	Texas, Hardin County	30.2,-94.45	SBBG015978L	Apalachicola Nat Forest; Country Rd 368, 3.6 mi NW of jct of US 319 at Crawfordville.	https://lichenportal.org/portal/collections/individual/index.php?occid=1315860
STATE	100	SBBG	154132	S. C. Tucker	Florida	Wakulla	468.34	outside_boundary_exact	Georgia, Pickens County	34.502222,-84.625	SBBG003737L	Apalachicola Nat Forest; West side of Bradwell Bay Wilderness Area, entrance of Florida National Scenic trail, west side of Forest Service Rd. 34, ABLS Field trip, site 6.	https://lichenportal.org/portal/collections/individual/index.php?occid=154132
STATE	100	SBBG	4888331	L. Ahart	Florida	Collier	3892.56	outside_boundary_exact	California, Butte County	39.350944,-121.48875	SBBG002564L	on the west side of North Honcut Creek, Peter Ahart Ranch, about 1 1/2 miles N and 2 3/4 miles E of Honcut, about 12 miles SE of Orville	https://lichenportal.org/portal/collections/individual/index.php?occid=4888331
STATE	100	SRP	3353159	Roger Rosentreter	Florida	Citrus	1095.96	outside_boundary_exact	Ohio, Jackson County	38.86852,-82.66786	NA	8 km WxSW of Crystal River.	https://lichenportal.org/portal/collections/individual/index.php?occid=3353159
STATE	100	SRP	3353382	Roger Rosentreter	Florida	Alachua	1068.16	outside_boundary_exact	Ohio, Hocking County	39.5028,-82.28571	NA	Micanopy, cemetery, SW of downtown, 20 km S of Gainesville.	https://lichenportal.org/portal/collections/individual/index.php?occid=3353382
