herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
MOR	5686829	MOR	Douglas Ladd	Arkansas	Stone	13552.38	outside_boundary_exact	not_found_in_US	35.91,92.08	0130134MOR	Hell Creek Natural Area, ca. 3.5 mi NNE of Mountain View	https://lichenportal.org/portal/collections/individual/index.php?occid=5686829	COUNTRY	1000
COLO	3171143	COLO	J. P. Dey	Arkansas	Benton	47.55	outside_boundary_exact	Missouri, Stone County	36.5933,-93.3439	COLO-L-0051767	Hobbs State Park-Conservation Area, southern shore of Beaver Lake, off AR Hwy 12, east of Rodgers.	https://lichenportal.org/portal/collections/individual/index.php?occid=3171143	STATE	100
WIS	1127802	WIS	D.M. Moore	Arkansas	Carroll	8.35	outside_boundary_exact	Missouri, Stone County	36.572966,-93.321118	WIS-L-0051771	11 miles northwest of Berryville, Table Rock Dam Reservoir	https://lichenportal.org/portal/collections/individual/index.php?occid=1127802	STATE	100
MIN	353827	MIN	Johnson, G.	Arkansas	Chicot	175.53	outside_boundary_exact	Arkansas, Faulkner County	35.021668,-92.166575	757142	Macon, 7 Mi N of	https://lichenportal.org/portal/collections/individual/index.php?occid=353827	COUNTY	10
UCR(temp)	2593938	UCR(temp)	James Lendemer	Arkansas	Pope	156.35	outside_boundary_exact	Arkansas, Ouachita County	33.719167,-93.058056	SBBG012097L	Ozark National Forest, Kings Bluff, south of AR #16, 6 mi. E of AR #7, between Sand Gap and Ben Hur.	https://lichenportal.org/portal/collections/individual/index.php?occid=2593938	COUNTY	10
ASU	2644375	ASU	L. Sigal	Arkansas	Independence	134.28	outside_boundary_exact	Arkansas, Newton County	36.0166667,-93.35	ASUL035463	Lost Valley State Park/Buffalo River National Park, Ozark mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=2644375	COUNTY	10
ASU	2687185	ASU	L. Sigal	Arkansas	Independence	134.28	outside_boundary_exact	Arkansas, Newton County	36.0166667,-93.35	NA	Lost Valley State Park/Buffalo River National Park, Ozark mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=2687185	COUNTY	10
ASU	50487	ASU	L. Sigal	Arkansas	Independence	134.28	outside_boundary_exact	Arkansas, Newton County	36.0166667,-93.35	ASUL011593	Lost Valley State Park/Buffalo River National Park, Ozark mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=50487	COUNTY	10
ASU	72083	ASU	L. Sigal	Arkansas	Independence	134.28	outside_boundary_exact	Arkansas, Newton County	36.0166667,-93.35	ASUL001575	Lost Valley State Park/Buffalo River National Park, Ozark mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=72083	COUNTY	10
ASU	76354	ASU	L. Sigal	Arkansas	Independence	134.28	outside_boundary_exact	Arkansas, Newton County	36.0166667,-93.35	ASUL046968	Lost Valley State Park/Buffalo River National Park, Ozark mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=76354	COUNTY	10
