herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
MONTU	5684928	MONTU	Maggie Cross	Montana	Powder River	10377.6	outside_boundary_exact	not_found_in_US	45.7395,106.0281	MONTU000160	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5684928	COUNTRY	1000
MONTU	5782746	MONTU	Maggie Cross	Montana	Powder River	10377.6	outside_boundary_exact	not_found_in_US	45.7395,106.0281	MONTU00820	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5782746	COUNTRY	1000
MONTU	5686041	MONTU	B. McCune	Montana	Mccone	10040.19	outside_boundary_exact	not_found_in_US	47.56614,106.21702	MONTU00198	Nelson Creek Recreation Area, near southeast end of Fort Peck Reservoir	https://lichenportal.org/portal/collections/individual/index.php?occid=5686041	COUNTRY	1000
MONTU	5772531	MONTU	Bruce McCune	Montana	Garfield	9957.94	outside_boundary_exact	not_found_in_US	46.98562,107.8443	MONTU00539	Noncalcareous shale of Carlile Formation, BLM land. Musselshell River breaks east of Mosby, east side of river, just south of Montana Highway 200 on dirt road beyond gate	https://lichenportal.org/portal/collections/individual/index.php?occid=5772531	COUNTRY	1000
MONTU	5780750	MONTU	Bruce McCune	Montana	Garfield	9957.94	outside_boundary_exact	not_found_in_US	46.98562,107.8443	MONTU00665	Musselshell River breaks east of Mosby, east side of river, just south of Montana Highway 200 on dirt road and beyond gate	https://lichenportal.org/portal/collections/individual/index.php?occid=5780750	COUNTRY	1000
MONTU	5782747	MONTU	Maggie Cross	Montana	Garfield	9922.37	outside_boundary_exact	not_found_in_US	47.54598,107.7136	MONTU00821	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5782747	COUNTRY	1000
MONTU	5658742	MONTU	Bruce McCune	Montana	Gallatin	9887.6	outside_boundary_exact	not_found_in_US	45,110	MONTU00064	9 km W of Bozeman pass on Insterstate-90, 1 km E of Trail Creek Rd. exit, N Side of freeway, S-facing slope.	https://lichenportal.org/portal/collections/individual/index.php?occid=5658742	COUNTRY	1000
MONTU	5785101	MONTU	Maggie Cross	Montana	Park	9817.88	outside_boundary_exact	not_found_in_US	46.14213,110.2902	MONTU00857	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=5785101	COUNTRY	1000
MONTU	5786011	MONTU	Bruce McCune	Montana	Gallatin	9800.72	outside_boundary_exact	not_found_in_US	45.4177,110.9571	MONTU00883	West Fork Middle Creek, Gallatin Range, Hyalite Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=5786011	COUNTRY	1000
MONTU	5781875	MONTU	Stephen Hughes	Montana	Blaine	9618.7	outside_boundary_exact	not_found_in_US	47.932432,109.0592	MONTU00800	FIA Plot: 30-5-409	https://lichenportal.org/portal/collections/individual/index.php?occid=5781875	COUNTRY	1000
MONTU	5794425	MONTU	Tim Wheeler	Montana	Lewis and Clark	9416.55	outside_boundary_exact	not_found_in_US	46.672756,112.10087	MONTU02520	Scratchgravel Hills, 6 Miles northwest of Helena	https://lichenportal.org/portal/collections/individual/index.php?occid=5794425	COUNTRY	1000
